ValidationID,FranchiseeID,StoreID,PeriodID,RuleID,ErrorMessage,Severity
1,2002,-90001184,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
2,2002,-90001184,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
3,2002,-90001184,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
4,2519,-90001182,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
5,2519,-90001182,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
6,2519,-90001182,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
7,2391,-90001175,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
8,2391,-90001175,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
9,2391,-90001175,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
10,2041,-90001174,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
11,2041,-90001174,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
12,2041,-90001174,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
13,2675,-90001173,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
14,2675,-90001173,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
15,2295,-90001164,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
16,2295,-90001164,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
17,2295,-90001164,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
18,2013,-90001160,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
19,2013,-90001160,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
20,2013,-90001160,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
21,2254,-90001156,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
22,2254,-90001156,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
23,2254,-90001156,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
24,2329,-90001155,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
25,2329,-90001155,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
26,2329,-90001155,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
27,2344,-90001154,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
28,2344,-90001154,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
29,2344,-90001154,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
30,2009,-90001148,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
31,2009,-90001148,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
32,2009,-90001148,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
33,2465,-90001145,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
34,2465,-90001145,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
35,2465,-90001145,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
36,2658,-90001142,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
37,2658,-90001142,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
38,2658,-90001142,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
39,2555,-90001118,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
40,2555,-90001118,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
41,2555,-90001118,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
42,2681,-90001116,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
43,2681,-90001116,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
44,2681,-90001116,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
45,2505,-90001105,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
46,2505,-90001105,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
47,2505,-90001105,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
48,2440,-90001103,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
49,2440,-90001103,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
50,2440,-90001103,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
51,2001,-90001101,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
52,2001,-90001101,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
53,2001,-90001101,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
54,2661,-90001099,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
55,2661,-90001099,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
56,2661,-90001099,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
57,2661,-90001098,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
58,2661,-90001098,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
59,2661,-90001098,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
60,2240,-90001094,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
61,2240,-90001094,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
62,2240,-90001094,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
63,2624,-90001090,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
64,2624,-90001090,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
65,2624,-90001090,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
66,2624,-90001089,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
67,2624,-90001089,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
68,2001,-90001084,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
69,2001,-90001084,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
70,2001,-90001084,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
71,2354,-90001079,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
72,2354,-90001079,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
73,2354,-90001079,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
74,2310,-90001074,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
75,2310,-90001074,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
76,2310,-90001074,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
77,2310,-90001073,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
78,2310,-90001073,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
79,2310,-90001073,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
80,2310,-90001071,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
81,2310,-90001071,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
82,2310,-90001071,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
83,2489,-90001062,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
84,2489,-90001062,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
85,2489,-90001062,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
86,2579,-90001055,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
87,2579,-90001055,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
88,2579,-90001055,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
89,2123,-90001046,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
90,2123,-90001046,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
91,2123,-90001046,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
92,2123,-90001045,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
93,2123,-90001045,202411,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
94,2123,-90001045,202412,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
95,2123,-90001044,202410,10,Equity ([10340]) does NOT match sum of Profit ([10320]) + Dividends ([10330]) + Retained Earnings ([10310]).,1
