ValidationID,FranchiseeID,StoreID,PeriodID,RuleID,ErrorMessage,Severity
4465,2267,102566,202411,12,Profit Before Taxes ([100]) is negative.,2
4466,2438,101799,202410,12,Profit Before Taxes ([100]) is negative.,2
4467,2413,101825,202410,12,Profit Before Taxes ([100]) is negative.,2
4468,2395,102803,202410,12,Profit Before Taxes ([100]) is negative.,2
4469,2280,102852,202411,12,Profit Before Taxes ([100]) is negative.,2
4470,2274,101973,202410,12,Profit Before Taxes ([100]) is negative.,2
4471,2128,103060,202412,12,Profit Before Taxes ([100]) is negative.,2
4472,2143,102060,202412,12,Profit Before Taxes ([100]) is negative.,2
4473,2388,102096,202411,12,Profit Before Taxes ([100]) is negative.,2
4474,2561,103261,202411,12,Profit Before Taxes ([100]) is negative.,2
4475,2318,102158,202412,12,Profit Before Taxes ([100]) is negative.,2
4476,2170,103508,202411,12,Profit Before Taxes ([100]) is negative.,2
4477,2652,102206,202410,12,Profit Before Taxes ([100]) is negative.,2
4478,2631,102282,202410,12,Profit Before Taxes ([100]) is negative.,2
4479,2388,103679,202410,12,Profit Before Taxes ([100]) is negative.,2
4480,2299,102396,202410,12,Profit Before Taxes ([100]) is negative.,2
4481,2299,102430,202411,12,Profit Before Taxes ([100]) is negative.,2
4482,2485,102480,202412,12,Profit Before Taxes ([100]) is negative.,2
4483,2026,103986,202410,12,Profit Before Taxes ([100]) is negative.,2
4484,2026,104003,202412,12,Profit Before Taxes ([100]) is negative.,2
4485,2205,102545,202410,12,Profit Before Taxes ([100]) is negative.,2
4486,2205,102561,202410,12,Profit Before Taxes ([100]) is negative.,2
4487,2446,104129,202410,12,Profit Before Taxes ([100]) is negative.,2
4488,2655,104274,202412,12,Profit Before Taxes ([100]) is negative.,2
4489,2562,102634,202410,12,Profit Before Taxes ([100]) is negative.,2
4490,2194,104458,202412,12,Profit Before Taxes ([100]) is negative.,2
4491,2386,104476,202412,12,Profit Before Taxes ([100]) is negative.,2
4492,2587,102719,202410,12,Profit Before Taxes ([100]) is negative.,2
4493,2489,104595,202412,12,Profit Before Taxes ([100]) is negative.,2
4494,2395,102783,202412,12,Profit Before Taxes ([100]) is negative.,2
4495,2586,104723,202412,12,Profit Before Taxes ([100]) is negative.,2
4496,2689,102847,202410,12,Profit Before Taxes ([100]) is negative.,2
4497,2621,104956,202411,12,Profit Before Taxes ([100]) is negative.,2
4498,2280,102928,202412,12,Profit Before Taxes ([100]) is negative.,2
4499,2136,102997,202410,12,Profit Before Taxes ([100]) is negative.,2
4500,2020,103152,202412,12,Profit Before Taxes ([100]) is negative.,2
4501,2649,103159,202411,12,Profit Before Taxes ([100]) is negative.,2
4502,2387,103194,202410,12,Profit Before Taxes ([100]) is negative.,2
4503,2681,103304,202410,12,Profit Before Taxes ([100]) is negative.,2
4504,2640,103382,202410,12,Profit Before Taxes ([100]) is negative.,2
4505,2167,103443,202410,12,Profit Before Taxes ([100]) is negative.,2
4506,2374,103490,202412,12,Profit Before Taxes ([100]) is negative.,2
4507,2115,103565,202412,12,Profit Before Taxes ([100]) is negative.,2
4508,2585,103640,202410,12,Profit Before Taxes ([100]) is negative.,2
4509,2539,103674,202410,12,Profit Before Taxes ([100]) is negative.,2
4510,2058,103840,202412,12,Profit Before Taxes ([100]) is negative.,2
4511,2071,103881,202411,12,Profit Before Taxes ([100]) is negative.,2
4512,2010,103917,202411,12,Profit Before Taxes ([100]) is negative.,2
4513,2309,103967,202411,12,Profit Before Taxes ([100]) is negative.,2
4514,2426,104059,202410,12,Profit Before Taxes ([100]) is negative.,2
4515,2616,104109,202410,12,Profit Before Taxes ([100]) is negative.,2
4516,2484,104170,202412,12,Profit Before Taxes ([100]) is negative.,2
4517,2692,104269,202412,12,Profit Before Taxes ([100]) is negative.,2
4518,2051,104353,202412,12,Profit Before Taxes ([100]) is negative.,2
4519,2261,104414,202411,12,Profit Before Taxes ([100]) is negative.,2
4520,2051,104455,202412,12,Profit Before Taxes ([100]) is negative.,2
4521,2386,104473,202412,12,Profit Before Taxes ([100]) is negative.,2
4522,2019,104662,202410,12,Profit Before Taxes ([100]) is negative.,2
4523,2482,104703,202412,12,Profit Before Taxes ([100]) is negative.,2
4524,2694,104793,202411,12,Profit Before Taxes ([100]) is negative.,2
4525,2681,104872,202411,12,Profit Before Taxes ([100]) is negative.,2
4526,2339,104951,202411,12,Profit Before Taxes ([100]) is negative.,2
4527,2519,-90001182,202411,12,Profit Before Taxes ([100]) is negative.,2
4528,2689,-90000803,202411,12,Profit Before Taxes ([100]) is negative.,2
4529,2689,-90000798,202412,12,Profit Before Taxes ([100]) is negative.,2
4530,2391,-90001175,202412,12,Profit Before Taxes ([100]) is negative.,2
4531,2329,-90001155,202412,12,Profit Before Taxes ([100]) is negative.,2
4532,2240,-90001149,202412,12,Profit Before Taxes ([100]) is negative.,2
4533,2284,-90001123,202410,12,Profit Before Taxes ([100]) is negative.,2
4534,2555,-90001118,202411,12,Profit Before Taxes ([100]) is negative.,2
4535,2661,-90001096,202410,12,Profit Before Taxes ([100]) is negative.,2
4536,2310,-90001073,202411,12,Profit Before Taxes ([100]) is negative.,2
4537,2123,-90001045,202411,12,Profit Before Taxes ([100]) is negative.,2
4538,2118,-90001039,202412,12,Profit Before Taxes ([100]) is negative.,2
4539,2361,-90001022,202411,12,Profit Before Taxes ([100]) is negative.,2
4540,2090,-90001016,202411,12,Profit Before Taxes ([100]) is negative.,2
4541,2495,-90000999,202412,12,Profit Before Taxes ([100]) is negative.,2
4542,2213,-90000993,202410,12,Profit Before Taxes ([100]) is negative.,2
4543,2070,-90000776,202412,12,Profit Before Taxes ([100]) is negative.,2
4544,2510,-90000754,202410,12,Profit Before Taxes ([100]) is negative.,2
4545,2072,-90000727,202410,12,Profit Before Taxes ([100]) is negative.,2
4546,2122,-90000721,202410,12,Profit Before Taxes ([100]) is negative.,2
4547,2583,-90000706,202412,12,Profit Before Taxes ([100]) is negative.,2
4548,2583,-90000700,202412,12,Profit Before Taxes ([100]) is negative.,2
4549,2670,-90000682,202410,12,Profit Before Taxes ([100]) is negative.,2
4550,2626,-90000669,202411,12,Profit Before Taxes ([100]) is negative.,2
